video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/ysNv46MjCR8,/@Channel4News,Channel 4 News,Final warning on climate change,56K,10 months,UN scientists have given what they say is a final warning for how to save the planet from disastrous climate change. (Subscribe: ...,2024-01-29 19:47:02.558297
/watch?v=Tx0am8PdoOs&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@GeologyUpSkill,GeologyUpSkill,Geologists See Climate Change Differently,306K,3 weeks,This place explains why geologists see the climate change from a different perspective.,2024-01-29 19:47:02.559528
/shorts/5ktYj9xKbDI,/@Hopscotchsongs,Hopscotch,"Climate Change Song, Sing-along with us",229K,10 months,"A song to help kids learn about climate change and how to care for our earth. ""Let's switch to renewable power, unplug and take ...",2024-01-29 19:47:02.560869
/watch?v=8eJ-TFIlLK0&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClimateAdam,ClimateAdam,Could Climate Change cause an Ocean Tipping Point... Soon..?,35K,5 months,The huge ocean current known as the Atlantic Meridional Overturning Circulation (AMOC - not the Gulf Stream!) shifts vast amount ...,2024-01-29 19:47:02.566604
/watch?v=l_Oe6YK0DgE&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@pbsterra,PBS Terra,What is the RISKIEST Region in the US as the Climate Changes?,2.7M,1 year,"Climate Change is increasing the frequency and severity of natural disasters all around the world. And in the United States, more ...",2024-01-29 19:47:02.567921
/watch?v=WkvPdUtYhX8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@LearnBright,Learn Bright,Climate Change for Kids | A fun engaging introduction to climate change for kids,433K,2 years,Hey Teachers and Parents! In this video we explore climate change for kids. We learn all about the causes of climate change like ...,2024-01-29 19:47:02.569933
/watch?v=zy7vUppYPC8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Will renewables stop the climate crisis? | DW Documentary,198K,1 month,"Mankind is facing the greatest upheaval since industrialization. To stop climate change, the energy system must be transformed ...",2024-01-29 19:47:02.572015
/watch?v=EbjKcHPmxKQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Vox,Vox,What people get wrong about climate change,930K,8 years,"When discussing climate change, it's not about saving the planet. Subscribe to our channel! http://goo.gl/0bsAjO One of the ...",2024-01-29 19:47:02.573446
/shorts/iRlnSMcCKSY,/@LXNews,LX News,Climate Change Protestors Glue Their Hands to the Road,266K,9 months,That's one way to stick to your plan! #protest #climatechange #shorts Subscribe: ...,2024-01-29 19:47:02.574771
/watch?v=ldLBoErAhz4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@eons,PBS Eons,The Last Time the Globe Warmed,8.6M,6 years,"Imagine an enormous, lush rainforest teeming with life...in the Arctic. Well, there was a time -- and not too long ago -- when the ...",2024-01-29 19:47:02.576189
